State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,-,260,1750,636,3310,3422,248,0,462,15153,14169,502,19,1658,1481,70,1021,4390,2567,73,1597,1099,1997,433,3512,2246,400,812,239,379,357,751,851,4697,0,1203,241,162,1898,0,873,339,6294,8791,1027,77,4028,1060,245,678,1227,141
Alaska,1105,-,1561,98,5064,862,220,294,338,4906,1378,907,674,135,184,425,7,855,1194,318,0,553,222,1240,80,927,1124,127,2850,392,457,950,596,1568,214,468,188,2068,1008,0,680,14,1506,4622,526,402,1256,4255,192,1070,54,0
Arizona,904,886,-,692,28226,10616,441,0,291,7054,2362,803,5018,5054,4067,2175,2367,990,1357,317,1770,1228,3447,1748,495,3184,1271,1968,8636,970,806,4255,2185,5319,945,3591,2962,6540,3104,423,1704,650,1457,21205,6301,41,2513,8263,356,1917,757,110
Arkansas,813,12,1022,-,3104,1022,0,0,0,3544,3322,169,386,1202,1056,188,1830,521,2497,183,274,0,464,296,2625,4768,68,273,356,154,261,416,1130,1976,46,1195,7421,425,502,0,579,141,5252,12341,888,0,1011,83,120,290,298,149
California,3690,2547,59713,4967,-,29350,4049,161,3437,28628,15437,10954,17722,14692,7255,5819,4957,3410,4228,1644,10092,11430,8672,6232,3024,7970,5298,2035,47322,1110,9155,5915,24332,18023,404,12277,7408,37927,13048,1854,7785,1778,11874,82235,17821,1048,16994,46791,940,6886,3211,826
Colorado,2042,685,14684,1585,15085,-,1165,530,870,13656,2904,2190,3970,3455,2050,4472,7224,1177,1881,982,1960,2094,2459,3647,421,4032,3831,2816,3206,372,3314,5038,5754,6089,585,3905,9020,5730,1631,238,1506,818,4674,18189,7856,687,4588,6829,266,3125,3129,474
Connecticut,705,153,895,87,4067,942,-,415,1298,13227,2927,414,247,1783,2165,142,208,310,109,3092,1885,11690,1569,386,0,997,346,261,694,1701,3484,598,15040,5840,65,3076,430,377,4853,2561,2880,0,740,2085,2830,798,2838,3098,0,826,109,226
Delaware,0,224,653,0,1630,0,45,-,0,3083,1076,0,58,213,48,0,379,0,0,675,5429,13,0,6,0,160,0,9,0,106,1066,108,1655,1595,0,205,0,0,6387,16,595,0,689,930,0,0,1187,0,127,0,0,140
District of Columbia ,248,69,239,295,3075,259,313,442,-,2705,934,189,0,865,251,7,266,133,31,210,17718,956,214,209,28,74,0,0,259,661,629,32,3325,1700,0,306,0,135,1978,0,454,0,157,711,252,253,9540,1510,154,298,0,415
Florida,15519,2473,7358,2118,22692,14124,7501,939,1496,-,46235,1858,895,14534,11926,4397,3828,7139,5296,2797,7766,10360,9941,4070,4712,6848,1715,1474,5429,1182,12032,1804,18976,30032,1168,16590,4109,4218,19629,3084,14136,550,21539,41238,2451,637,21432,7925,3052,5168,909,10000
